15
0 1-10; 2-20; 3-30; 4-40; 5-50; 6-60; 7-70; 8-80; 9-90; 10-15; 11-25; 12-35; 13-45; 14-55;
1 0-10; 2-12; 3-22; 4-32; 5-42; 6-52; 7-62; 8-72; 9-82; 10-17; 11-27; 12-37; 13-47; 14-57;
2 0-20; 1-12; 3-14; 4-24; 5-34; 6-44; 7-54; 8-64; 9-74; 10-19; 11-29; 12-39; 13-49; 14-59;
3 0-30; 1-22; 2-14; 4-16; 5-26; 6-36; 7-46; 8-56; 9-66; 10-21; 11-31; 12-41; 13-51; 14-61;
4 0-40; 1-32; 2-24; 3-16; 5-18; 6-28; 7-38; 8-48; 9-58; 10-23; 11-33; 12-43; 13-53; 14-63;
5 0-50; 1-42; 2-34; 3-26; 4-18; 6-20; 7-30; 8-40; 9-50; 10-27; 11-37; 12-47; 13-57; 14-67;
6 0-60; 1-52; 2-44; 3-36; 4-28; 5-20; 7-22; 8-32; 9-42; 10-29; 11-39; 12-49; 13-59; 14-69;
7 0-70; 1-62; 2-54; 3-46; 4-38; 5-30; 6-22; 8-24; 9-34; 10-31; 11-41; 12-51; 13-61; 14-71;
8 0-80; 1-72; 2-64; 3-56; 4-48; 5-40; 6-32; 7-24; 9-26; 10-35; 11-45; 12-55; 13-65; 14-75;
9 0-90; 1-82; 2-74; 3-66; 4-58; 5-50; 6-42; 7-34; 8-26; 10-39; 11-49; 12-59; 13-69; 14-79;
10 0-15; 1-17; 2-19; 3-21; 4-23; 5-27; 6-29; 7-31; 8-35; 9-39; 11-11; 12-21; 13-31; 14-41;
11 0-25; 1-27; 2-29; 3-31; 4-33; 5-37; 6-39; 7-41; 8-45; 9-49; 10-11; 12-13; 13-23; 14-33;
12 0-35; 1-37; 2-39; 3-41; 4-43; 5-47; 6-49; 7-51; 8-55; 9-59; 10-21; 11-13; 13-15; 14-25;
13 0-45; 1-47; 2-49; 3-51; 4-53; 5-57; 6-59; 7-61; 8-65; 9-69; 10-31; 11-23; 12-15; 14-17;
14 0-55; 1-57; 2-59; 3-61; 4-63; 5-67; 6-69; 7-71; 8-75; 9-79; 10-41; 11-33; 12-25; 13-17;
