20
0 1-12; 2-99; 3-25; 4-64; 5-18; 6-32; 7-45; 8-78; 9-21; 10-39; 11-100; 12-60; 13-28; 14-82; 15-65; 16-33; 17-91; 18-47; 19-85;
1 0-12; 2-24; 3-78; 4-89; 5-55; 6-23; 7-19; 8-82; 9-56; 10-38; 11-24; 12-72; 13-46; 14-91; 15-67; 16-36; 17-98; 18-50; 19-44;
2 0-99; 1-24; 3-47; 4-23; 5-59; 6-35; 7-77; 8-29; 9-80; 10-33; 11-56; 12-40; 13-28; 14-39; 15-76; 16-59; 17-21; 18-72; 19-49;
3 0-25; 1-78; 2-47; 4-54; 5-70; 6-22; 7-49; 8-93; 9-77; 10-18; 11-90; 12-23; 13-67; 14-91; 15-56; 16-58; 17-81; 18-68; 19-85;
4 0-64; 1-89; 2-23; 3-54; 5-94; 6-66; 7-62; 8-39; 9-81; 10-47; 11-90; 12-70; 13-54; 14-79; 15-84; 16-33; 17-98; 18-72; 19-59;
5 0-18; 1-55; 2-59; 3-70; 4-94; 6-41; 7-53; 8-87; 9-30; 10-89; 11-76; 12-58; 13-79; 14-28; 15-19; 16-44; 17-70; 18-84; 19-22;
6 0-32; 1-23; 2-35; 3-22; 4-66; 5-41; 7-36; 8-47; 9-82; 10-60; 11-41; 12-72; 13-63; 14-25; 15-50; 16-30; 17-71; 18-94; 19-65;
7 0-45; 1-19; 2-77; 3-49; 4-62; 5-53; 6-36; 8-43; 9-52; 10-84; 11-28; 12-93; 13-82; 14-54; 15-67; 16-77; 17-56; 18-95; 19-71;
8 0-78; 1-82; 2-29; 3-93; 4-39; 5-87; 6-47; 7-43; 9-27; 10-73; 11-86; 12-42; 13-51; 14-63; 15-88; 16-27; 17-77; 18-57; 19-61;
9 0-21; 1-56; 2-80; 3-77; 4-81; 5-30; 6-82; 7-52; 8-27; 10-73; 11-43; 12-57; 13-46; 14-82; 15-41; 16-98; 17-51; 18-19; 19-50;
10 0-39; 1-38; 2-33; 3-18; 4-47; 5-89; 6-60; 7-84; 8-73; 9-73; 11-65; 12-22; 13-71; 14-34; 15-85; 16-46; 17-92; 18-63; 19-20;
11 0-100; 1-24; 2-56; 3-90; 4-90; 5-76; 6-41; 7-28; 8-86; 9-43; 10-65; 12-94; 13-39; 14-92; 15-68; 16-56; 17-80; 18-55; 19-71;
12 0-60; 1-72; 2-40; 3-23; 4-70; 5-58; 6-72; 7-93; 8-42; 9-57; 10-22; 11-94; 13-62; 14-50; 15-66; 16-84; 17-73; 18-29; 19-31;
13 0-28; 1-46; 2-28; 3-67; 4-54; 5-79; 6-63; 7-82; 8-51; 9-46; 10-71; 11-39; 12-62; 14-34; 15-45; 16-63; 17-62; 18-98; 19-51;
14 0-82; 1-91; 2-39; 3-91; 4-79; 5-28; 6-25; 7-54; 8-63; 9-82; 10-34; 11-92; 12-50; 13-34; 15-89; 16-92; 17-61; 18-79; 19-45;
15 0-65; 1-67; 2-76; 3-56; 4-84; 5-19; 6-50; 7-67; 8-88; 9-41; 10-85; 11-68; 12-66; 13-45; 14-89; 16-88; 17-65; 18-45; 19-71;
16 0-33; 1-36; 2-59; 3-58; 4-33; 5-44; 6-30; 7-77; 8-27; 9-98; 10-46; 11-56; 12-84; 13-63; 14-92; 15-88; 17-74; 18-61; 19-58;
17 0-91; 1-98; 2-21; 3-81; 4-98; 5-70; 6-71; 7-56; 8-77; 9-51; 10-92; 11-80; 12-73; 13-62; 14-61; 15-65; 16-74; 18-45; 19-60;
18 0-47; 1-50; 2-72; 3-68; 4-72; 5-84; 6-94; 7-95; 8-57; 9-19; 10-63; 11-55; 12-29; 13-98; 14-79; 15-45; 16-61; 17-45; 19-39;
19 0-85; 1-44; 2-49; 3-85; 4-59; 5-22; 6-65; 7-71; 8-61; 9-50; 10-20; 11-71; 12-31; 13-51; 14-45; 15-71; 16-58; 17-60; 18-39;
